COMBO,NUMBER_OF_TIMES_FOUND,LENGTH OF COMBO
asked,3,1
questions,3,1
drain,135,1
problems,12,1
insurance,19,1
tree,11,1
roots,11,1
ground,5,1
example,3,1
pressure,8,1
drains,56,1
leaking,3,1
collapsed,3,1
toilets,9,1
inside,7,1
blocked,39,1
caused,12,1
common,6,1
blockages,24,1
flushing,3,1
items,4,1
nappies,4,1
wipes,6,1
toilet,18,1
accidental,8,1
non,3,1
include,8,1
damage,12,1
cctv,13,1
inspection,6,1
carried,8,1
unblock,10,1
service,13,1
free,6,1
simply,4,1
pay,17,1
fee,12,1
time,22,1
emergency,10,1
sewage,8,1
pipes,36,1
unblocked,4,1
survey,9,1
claim,7,1
company,9,1
problem,20,1
clear,31,1
policy,6,1
covered,6,1
experience,7,1
cases,6,1
blockage,34,1
fat,3,1
grease,10,1
system,7,1
will,43,1
it’s,10,1
arrange,4,1
work,32,1
approved,3,1
contractors,4,1
cost,26,1
provided,3,1
quotation,4,1
call,24,1
happy,12,1
agreed,3,1
amount,7,1
excess,4,1
avoid,3,1
experienced,5,1
companies,4,1
business,6,1
financial,4,1
process,5,1
charge,7,1
contractor,5,1
best,13,1
details,3,1
cover,9,1
average,6,1
minimum,3,1
years,3,1
price,14,1
repair,10,1
provide,8,1
case,3,1
agree,4,1
terms,4,1
brighton,4,1
great,9,1
london,3,1
good,11,1
won’t,6,1
boiler,3,1
maintenance,3,1
place,8,1
potential,3,1
doesn’t,4,1
break,9,1
left,4,1
check,4,1
damaged,6,1
water,62,1
create,8,1
waste,14,1
flush,10,1
pipe,19,1
power,4,1
supply,4,1
fully,3,1
heating,3,1
washing,6,1
powered,4,1
roof,3,1
required,8,1
result,4,1
severe,4,1
you’re,4,1
idea,6,1
you’ve,4,1
alternative,3,1
costs,6,1
location,5,1
email,4,1
site,3,1
2019,4,1
going,6,1
licensed,5,1
plumber,20,1
drainage,26,1
class,3,1
requires,3,1
specific,3,1
type,5,1
find,10,1
job,13,1
hire,4,1
today,5,1
number,3,1
huge,3,1
plumbers,10,1
cameras,4,1
called,6,1
sewer,14,1
hourly,6,1
rate,8,1
range,3,1
100,4,1
rates,3,1
depending,3,1
expect,10,1
hours,6,1
better,6,1
connect,4,1
snake,19,1
solution,12,1
clogged,16,1
bit,5,1
plumbing,21,1
hair,17,1
stuck,5,1
machine,3,1
removing,4,1
cleaners,18,1
accurate,3,1
help,14,1
clogs,15,1
extremely,3,1
grime,3,1
materials,4,1
high,9,1
apart,3,1
including,5,1
option,5,1
replacement,3,1
sydney,3,1
cleared,7,1
simple,8,1
organic,3,1
debris,14,1
food,6,1
kitchen,8,1
sink,28,1
solid,4,1
wet,4,1
difficult,6,1
expensive,5,1
close,4,1
trap,13,1
located,6,1
blocking,5,1
shower,9,1
cheaper,3,1
main,16,1
solutions,5,1
acid,4,1
heavy,3,1
plunger,17,1
resolve,5,1
matter,4,1
require,3,1
replace,6,1
higher,3,1
jetting,11,1
modern,3,1
multiple,3,1
offers,4,1
quote,3,1
based,5,1
severity,4,1
team,6,1
offer,3,1
day,10,1
highly,3,1
credit,6,1
sinks,11,1
effective,6,1
efficient,4,1
method,4,1
clearing,12,1
typically,3,1
standard,3,1
rods,7,1
reach,8,1
equipment,5,1
fixed,3,1
hour,4,1
longer,3,1
build,7,1
people,4,1
attempt,3,1
engineer,3,1
office,3,1
payment,3,1
machines,5,1
easily,3,1
issues,4,1
tap,4,1
hose,4,1
correctly,3,1
customers,4,1
unblocking,3,1
remove,19,1
obstruction,3,1
flow,4,1
visit,3,1
area,3,1
answer,3,1
flexible,3,1
removal,4,1
built,3,1
liverpool,3,1
local,7,1
engineers,7,1
foy,6,1
james,5,1
group,3,1
phone,4,1
issue,3,1
data,4,1
professionals,3,1
jobs,3,1
services,5,1
switch,3,1
flat,4,1
handheld,5,1
snakes,5,1
basin,6,1
clog,20,1
hardware,5,1
stores,4,1
project,7,1
route,3,1
wait,4,1
involved,3,1
small,6,1
projects,6,1
start,3,1
labor,3,1
bathtub,3,1
cleaning,8,1
fill,3,1
dirt,3,1
soap,6,1
prevent,10,1
it's,6,1
leave,4,1
hiring,3,1
professional,8,1
single,3,1
handle,6,1
seal,5,1
suction,3,1
designed,3,1
cleaner,7,1
causing,4,1
chemical,7,1
contact,3,1
protective,4,1
follow,5,1
instructions,3,1
tub,3,1
bucket,5,1
catch,3,1
easy,3,1
household,5,1
foot,3,1
pour,9,1
friendly,5,1
baking,8,1
soda,10,1
white,4,1
long,5,1
complete,4,1
fats,3,1
serious,3,1
repairs,3,1
helpwe,3,1
recommend,6,1
polite,4,1
arranged,3,1
pleasant,3,1
minutes,7,1
helpful,3,1
thought,3,1
completely,4,1
repeat,4,1
question,3,1
south,3,1
full,4,1
showers,3,1
commonly,3,1
lead,4,1
prices,4,1
cookies,3,1
particles,3,1
tool,5,1
draining,5,1
products,4,1
couple,5,1
clean,10,1
home’s,3,1
piping,3,1
money,3,1
knowledge,3,1
hot,5,1
diy,4,1
address,3,1
published,4,1
fields,3,1
marked,3,1
chemicals,3,1
slow,7,1
flowing,3,1
air,3,1
mechanical,4,1
auger,5,1
intended,3,1
systems,5,1
extensive,3,1
american,4,1
basins,5,1
metres,3,1
cable,3,1
force,4,1
gas,3,1
standing,4,1
boiling,8,1
running,3,1
plastic,3,1
fittings,3,1
bath,4,1
don't,5,1
outlet,3,1
baths,3,1
half,4,1
wall,5,1
hold,4,1
smells,3,1
plug,3,1
hole,3,1
methods,3,1
clears,5,1
cup,9,1
pump,3,1
carefully,3,1
pan,5,1
easiest,3,1
kettle,3,1
disposal,4,1
side,3,1
underneath,3,1
sit,3,1
vinegar,6,1
combination,3,1
you’ll,5,1
drainpipe,3,1
insert,3,1
wire,5,1
coat,4,1
hanger,4,1
plugholes,5,1
plughole,13,1
