,Unnamed: 0,Keyword/Keyword Phrase,Related Terms,Volume,CPC,URL,entity,matched_text,freebase_types,dbpedia_types,wikipedia_link,entity_per_url,total_url_per_keyword,percentage_entity_prominence
2234,2234,plumber,plumbers near me,22200,6.11,https://www.ratedpeople.com/local-plumbers,Bathroom,bathrooms,"['/organization/organization_sector', '/business/industry', '/business/consumer_product', '/organization/contact_category']",[],http://en.wikipedia.org/wiki/Bathroom,81,1269,6.382978723
2250,2250,plumber,plumbers near me,22200,6.11,https://www.ratedpeople.com/local-plumbers,Bathroom,bathroom,"['/organization/organization_sector', '/business/industry', '/business/consumer_product', '/organization/contact_category']",[],http://en.wikipedia.org/wiki/Bathroom,81,1269,6.382978723
2199,2199,plumber,plumbers near me,22200,6.11,https://www.ratedpeople.com/local-plumbers,Boiler,boilers,['/organization/organization_sector'],[],http://en.wikipedia.org/wiki/Boiler,72,1269,5.673758865
2205,2205,plumber,plumbers near me,22200,6.11,https://www.ratedpeople.com/local-plumbers,Boiler,boiler,['/organization/organization_sector'],[],http://en.wikipedia.org/wiki/Boiler,72,1269,5.673758865
10191,10238,plumber,plumbers near me,22200,6.11,https://www.plumbingforce.co.uk/emergencies/,Emergency,emergency,['/organization/contact_category'],[],http://en.wikipedia.org/wiki/Emergency,12,148,8.108108108
2223,2223,plumber,plumbers near me,22200,6.11,https://www.ratedpeople.com/local-plumbers,Gas,Gas,"['/medicine/drug_dosage_form', '/chemistry/phase_of_matter']",[],http://en.wikipedia.org/wiki/Gas,135,1269,10.63829787
9515,9562,plumber,plumbers near me,22200,6.11,https://www.ratedpeople.com/local-plumbers/london,Kitchen,kitchen,"['/organization/organization_sector', '/travel/accommodation_feature', '/book/book_subject']",[],http://en.wikipedia.org/wiki/Kitchen,12,144,8.333333333
1107,1107,plumber,plumbers near me,22200,6.11,https://www.localheroes.com/plumber,Plumbing,Plumbers,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,63,270,23.33333333
1110,1110,plumber,plumbers near me,22200,6.11,https://www.localheroes.com/plumber,Plumbing,plumbing,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,63,270,23.33333333
1114,1114,plumber,plumbers near me,22200,6.11,https://www.localheroes.com/plumber,Plumbing,plumber,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,63,270,23.33333333
