COMBO,NUMBER_OF_TIMES_FOUND,LENGTH OF COMBO
call,13,1
carry,9,1
find,20,1
good,10,1
plumbers,136,1
finding,14,1
plumber,31,1
trust,12,1
help,9,1
local,20,1
london,22,1
company,15,1
gas,24,1
work,28,1
hour,9,1
trader,13,1
provide,10,1
professional,30,1
plumbing,69,1
emergency,11,1
will,80,1
services,11,1
job,25,1
service,16,1
quality,13,1
best,11,1
shower,9,1
initial,11,1
matter,11,1
damage,13,1
request,9,1
jobs,9,1
heating,14,1
water,54,1
boiler,11,1
check,11,1
pay,10,1
safe,9,1
works,15,1
issues,10,1
result,9,1
time,13,1
problems,17,1
pipes,20,1
paying,10,1
pipe,16,1
solved,12,1
problem,27,1
inspection,11,1
leak,21,1
toilet,14,1
solve,14,1
contractor,43,1
fee,11,1
hire,15,1
handle,10,1
project,26,1
licensed,11,1
feel,10,1
thing,12,1
leaks,14,1
you,11,1
confident,9,1
systems,17,1
turn,12,1
